Table_Name,Column_Name
ScreeningGeneralInfo,sgiExperianPassword
ScreeningGeneralInfo,sgiTUCode
ScreeningGeneralInfo,sgiTUPassword
ScreeningGeneralInfo,sgiAccountName
ScreeningGeneralInfo,sgiPremiumCriminalID
ScreeningGeneralInfo,sgiPremiumEvictionID
ScreeningGeneralInfo,sgiEquifaxTurnOff
ScreeningGeneralInfo,sgiExperianTurnOff
ScreeningGeneralInfo,sgiTUTurnOff
ScreeningGeneralInfo,sgiWebServiceReportDetails
ScreeningGeneralInfo,sgiAllowWebService
ScreeningGeneralInfo,sgiScreeningVersion
ScreeningGeneralInfo,sgiUseCriminal
ScreeningGeneralInfo,sgihideQuestions
ScreeningGeneralInfo,sgiExternalScreeningID
ScreeningGeneralInfo,sgiExternalSiteID
ScreeningGeneralInfo,sgiUIVersion
ScreeningGeneralInfo,sgiDespositServiceNumber
ScreeningGeneralInfo,sgiDepositKey
ScreeningGeneralInfo,sgiDepositPWD
ScreeningGeneralInfo,sgiDepositProperty
ScreeningGeneralInfo,sgiDisplayAppFee
ScreeningGeneralInfo,oonDiscount
ScreeningGeneralInfo,oonAllowed
ScreeningGeneralInfo,oonEnabled
ScreeningGeneralInfo,RECORDSTAMP
ScreeningGeneralInfo,sgiNationalSORSearch
ScreeningGeneralInfo,sgiCriminalOnly
ScreeningGeneralInfo,sgiUseManualCriminal
ScreeningGeneralInfo,sgiManualCriminalEmail
ScreeningGeneralInfo,sgiUseLeaseLtr
ScreeningGeneralInfo,sgiPropCat
ScreeningGeneralInfo,sgiBillType
ScreeningGeneralInfo,sgiUseMultiLanguage
ScreeningGeneralInfo,sgiAALetterType
ScreeningGeneralInfo,sgiReqOvNotes
ScreeningGeneralInfo,sgiRentalHistoryService
ScreeningGeneralInfo,sgiCriminalVersion
ScreeningGeneralInfo,sgiDnBCode
ScreeningGeneralInfo,sgiDnBPassword
ScreeningGeneralInfo,sgiDnBTurnOff
ScreeningGeneralInfo,sgiDnBCreditRule
ScreeningGeneralInfo,sgiDnBCreditRuleVersion
ScreeningGeneralInfo,sgiMITSCompliant
ScreeningGeneralInfo,sgiExtName
ScreeningGeneralInfo,sgiRentBureauSettingOff
ScreeningGeneralInfo,sgiUseCORI
ScreeningGeneralInfo,sgiUseESignature
ScreeningGeneralInfo,sgiRestrictedJurisdiction
