Table_Name,Column_Name
ScreeningScoringModel,smodAASensitivity
ScreeningScoringModel,smodRISensitivity
ScreeningScoringModel,smodDISensitivity
ScreeningScoringModel,smodScreeningVersion
ScreeningScoringModel,smodFIWeight
ScreeningScoringModel,smodAAWeight
ScreeningScoringModel,smodDIWeight
ScreeningScoringModel,smodRIWeight
ScreeningScoringModel,smodRHWeight
ScreeningScoringModel,smodRHSensitivity
ScreeningScoringModel,smodRHUThreshold
ScreeningScoringModel,smodRHLThreshold
ScreeningScoringModel,smodProgenID
ScreeningScoringModel,RECORDSTAMP
ScreeningScoringModel,smodBankruptcyDuration
ScreeningScoringModel,smodPublicDuration
ScreeningScoringModel,oonLimit
ScreeningScoringModel,UseOONLimit
ScreeningScoringModel,smodUtility
ScreeningScoringModel,smodUtilityDuration
ScreeningScoringModel,UseAutoFailRTI
ScreeningScoringModel,AutoFailRTIPercent
ScreeningScoringModel,OONOnly
ScreeningScoringModel,smodUseAutoFailCollections
ScreeningScoringModel,smodAutoFailCollectionsPWC
ScreeningScoringModel,smodAutoFailCollectionsFail
ScreeningScoringModel,smodNonConvictions
ScreeningScoringModel,smodExclude0RC
ScreeningScoringModel,smodUseForclosureIgnore
ScreeningScoringModel,smodUseASForclosure
ScreeningScoringModel,smodAutoScoreForclosure
ScreeningScoringModel,smodForclosureDuration
ScreeningScoringModel,smodOONState1
ScreeningScoringModel,smodOONCounty1
ScreeningScoringModel,smodOONState2
ScreeningScoringModel,smodOONCounty2
ScreeningScoringModel,smodOONState3
ScreeningScoringModel,smodOONCounty3
ScreeningScoringModel,smodUseAutoFailTaxLien
ScreeningScoringModel,smodExclude0TL
ScreeningScoringModel,smodUseAutoFailJudgment
ScreeningScoringModel,smodExclude0JG
ScreeningScoringModel,smodExclude0UT
ScreeningScoringModel,UseBusinessDays
ScreeningScoringModel,smodBusinessDays
ScreeningScoringModel,SadID
ScreeningScoringModel,UseOONForceAppAddr
ScreeningScoringModel,OSSiteID
ScreeningServiceLog,svcLogID
ScreeningServiceLog,svcTransactionID
ScreeningServiceLog,svcApgID
ScreeningServiceLog,svcID
ScreeningServiceLog,svcEntityID
ScreeningServiceLog,svcSiteID
ScreeningServiceLog,svcService
ScreeningServiceLog,svcStatus
ScreeningServiceLog,svcStart
ScreeningServiceLog,svcEntry
ScreeningServiceLog,svcExit
ScreeningServiceLog,svcFinish
ScreeningServiceLog,svcInsertDate
ScreeningServiceLog,svcModifyDate
ScreeningServiceLog,svcUserID
ScreeningServiceLog,svcTimeOut
ScreeningServiceLog,RECORDSTAMP
ScreeningServiceLog,OSSiteID
ScreeningXGLetterJournal,ljID
ScreeningXGLetterJournal,xmlID
ScreeningXGLetterJournal,decID
ScreeningXGLetterJournal,ltID
ScreeningXGLetterJournal,actionID
ScreeningXGLetterJournal,ljLetterLang
ScreeningXGLetterJournal,ljCreateDT
ScreeningXGLetterJournal,ljCreateUID
ScreeningXGLetterJournal,OSSiteID
ScreeningXGDecision,decID
ScreeningXGDecision,dtID
ScreeningXGDecision,apgID
ScreeningXGDecision,parentID
ScreeningXGDecision,actID
ScreeningXGDecision,decCode
ScreeningXGDecision,decDeposit
ScreeningXGDecision,createDate
ScreeningXGDecision,createUser
ScreeningXGDecision,updateDate
ScreeningXGDecision,updateUser
ScreeningXGDecision,active
ScreeningXGDecision,autoDecision
ScreeningXGDecision,decFee
ScreeningXGDecision,OSSiteID
ScreeningXGLetterAction,actionID
ScreeningXGLetterAction,actionName
ScreeningXGLetterAction,actionDescription
ScreeningXGLetterAction,actionActive
ScreeningXGLetterAction,OSSiteID
ScreeningXGCriminalMatchRecords,LogID
ScreeningXGCriminalMatchRecords,ApgID
ScreeningXGCriminalMatchRecords,AppId
ScreeningXGCriminalMatchRecords,OffenderID
ScreeningXGCriminalMatchRecords,FName
ScreeningXGCriminalMatchRecords,MName
ScreeningXGCriminalMatchRecords,LName
ScreeningXGCriminalMatchRecords,BirthDate
ScreeningXGCriminalMatchRecords,FNameCode
ScreeningXGCriminalMatchRecords,MNameCode
ScreeningXGCriminalMatchRecords,DOBCode
ScreeningXGCriminalMatchRecords,ProcessedLastName
ScreeningXGCriminalMatchRecords,ProcessedNameType
ScreeningXGCriminalMatchRecords,SourceTable
ScreeningXGCriminalMatchRecords,RecSup
ScreeningXGCriminalMatchRecords,RecUnSup
ScreeningXGCriminalMatchRecords,Undisputed
ScreeningXGCriminalMatchRecords,Score
ScreeningXGCriminalMatchRecords,ProbabilityMatch
ScreeningXGCriminalMatchRecords,BF_FName_RecSup
ScreeningXGCriminalMatchRecords,BF_FName_RecUnSup
ScreeningXGCriminalMatchRecords,BF_MName_RecSup
ScreeningXGCriminalMatchRecords,BF_MName_RecUnSup
ScreeningXGCriminalMatchRecords,BF_LName_RecSup
ScreeningXGCriminalMatchRecords,BF_LName_RecUnSup
ScreeningXGCriminalMatchRecords,BF_DOB_RecSup
ScreeningXGCriminalMatchRecords,BF_DOB_RecUnSup
ScreeningXGCriminalMatchRecords,BF_SourceTable_RecSup
ScreeningXGCriminalMatchRecords,BF_SourceTable_RecUnSup
ScreeningXGCriminalMatchRecords,CreateDate
ScreeningXGCriminalMatchRecords,OSSiteID
ScreeningXGDecisionType,dtID
ScreeningXGDecisionType,dtName
ScreeningXGDecisionType,dtDescription
ScreeningXGDecisionType,dtActive
ScreeningXGDecisionType,OSSiteID
ScreeningCriminalCategory,ccatID
ScreeningCriminalCategory,ccatRealpageBit
ScreeningCriminalCategory,ccatUsed
ScreeningCriminalCategory,ccatDisplayBit
ScreeningCriminalCategory,ccatName
ScreeningCriminalCategory,ccatDesc
ScreeningCriminalCategory,CreateUser
ScreeningCriminalCategory,CreateDate
ScreeningCriminalCategory,ModifyUser
ScreeningCriminalCategory,ModifyDate
ScreeningCriminalCategory,ccatParentID
ScreeningCriminalCategory,ccatRootParentID
ScreeningCriminalCategory,RECORDSTAMP
ScreeningCriminalCategory,ccatAutoCategory
ScreeningCriminalCategory,SCC_ID
ScreeningCriminalCategory,OSSiteID
ScreeningResubmit,srID
ScreeningResubmit,srType
ScreeningResubmit,srValue
ScreeningResubmit,srResubmit
ScreeningResubmit,srSwap
ScreeningResubmit,RECORDSTAMP
ScreeningResubmit,OSSiteID
ScreeningApplicantExtraXML,ID
ScreeningApplicantExtraXML,appID
